Rank,county,pop2019
1,Anchorage Municipality,296112
2,Matanuska-Susitna Borough,103464
3,Fairbanks North Star Borough,99653
4,Kenai Peninsula Borough,58220
5,Juneau City and Borough,32330
6,Bethel Census Area,18040
7,Ketchikan Gateway Borough,13804
8,Kodiak Island Borough,13649
9,Nome Census Area,9925
10,North Slope Borough,9797
11,Valdez-Cordova Census Area,9301
12,Sitka City and Borough,8738
13,Kusilvak Census Area,8198
14,Northwest Arctic Borough,7734
15,Southeast Fairbanks Census Area,6876
16,Prince of Wales-Hyder Census Area,6474
17,Aleutians West Census Area,5750
18,Yukon-Koyukuk Census Area,5415
19,Dillingham Census Area,4975
20,Aleutians East Borough,3425
21,Petersburg Borough,3255
22,Haines Borough,2518
23,Wrangell City and Borough,2484
24,Denali Borough,2232
25,Hoonah-Angoon Census Area,2132
26,Lake and Peninsula Borough,1375
27,Skagway Municipality,1061
28,Bristol Bay Borough,890
29,Yakutat City and Borough,689
